source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;mirror_algorithm_id;mirror_tables;compare_tables;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
2;public;account_status_list;10;obo;;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;action_list_lookup_log;10;obo;;alll_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;action_list_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;actionlists_restreq_tracking;10;obo;;request_tracking_id;;N;Y;Y;Y;1;Y;Y;0;0;N;N;;;;
2;public;actionlists_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;actionlists_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;actionlists_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_detailed_results;10;obo;;analysis_detailed_result_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_queue;10;obo;;analysis_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_queue_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_queue_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_request;10;obo;;analysis_request_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_request_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_request_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_result_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_result_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_results;10;obo;;analysis_result_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;applied_rating_detail_data;10;obo;;ardd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;authenticator_verification_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;axle_tariff_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;camera_register;10;obo;;camera_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;camera_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;camera_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;cc_processing_queue;10;obo;;cc_processing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliance_case_cbo_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_completion_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_contact_info;10;obo;;ccci_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;compliance_case_dms_records;10;obo;;ccdmsr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliance_case_eph_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_event_queue;10;obo;;cceq_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliance_case_event_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_log;10;obo;;cclog_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliance_case_passage_event_map;10;obo;;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_publishing_queue;10;obo;;compliance_case_publishing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliance_case_register;10;obo;;compliance_case_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;compliance_case_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliance_case_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliancecase_restreq_tracking;10;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliancecase_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;compliancecase_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;compliancecase_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;config_allowed_status_list_reason_codes;10;obo;;caslrc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;config_api_valid_status_list_reason_codes;10;obo;;config_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;config_status_list_code_mappings;10;obo;;cslcm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;config_valid_roads;10;obo;;config_valid_roads_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;control_point_event_capture_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;control_point_event_info_flags;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;control_point_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;control_point_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;control_points;10;obo;;control_point_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;control_sites;10;obo;;control_site_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;cop_emissions_code;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;country;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;cso_reference_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;dadd_restreq_tracking;10;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dadd_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;dadd_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dadd_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;data_aggregator_processing_statistics;10;obo;;daps_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;data_authorities;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;data_restreq_tracking;10;obo;;request_tracking_id;request_completed_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;data_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;data_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;data_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;data_signing_key_register;10;obo;;key_reference_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;database_patch_log;10;obo;;database_patch_log_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;datamodel_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;datamodel_version_tracking;10;obo;;dmvt_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;datamodels;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;dsrc_data_actionlist_matches;10;obo;;dsrcdalm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dsrc_data_authenticator;10;obo;;dda_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dsrc_data_receipt;10;obo;;ddr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dsrc_data_vehicle;10;obo;;ddv_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;dsrc_mmi_codes;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;dsrc_raw_xml;10;obo;;dsrcrxml_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;enforcement_watch_list;10;obo;;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;engineering_data;10;obo;;engineering_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;engineering_data_links;10;obo;;engineering_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;engineering_data_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;euro_class_group;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;euro_emissions_class;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;exemption_list;10;obo;;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;file;10;obo;;file_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;file_access_grants;10;obo;;file_access_grant_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;file_data_management_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;file_data_storage_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;file_data_storage_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;file_path;10;obo;;file_path_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;file_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;file_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;history_datamodel_version_tracking;10;obo;;history_event_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;history_event_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;history_managed_process_versions;10;obo;;history_event_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;hsm_register;10;obo;;hsm_register_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;hsm_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;hsm_to_device_map;10;obo;;hsm_register_id;;N;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;image;10;obo;;image_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;image_data_signatures;10;obo;;data_signature_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;image_encoding_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;image_roi;10;obo;;roi_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;image_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;image_view;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;imageanalysis_restreq_tracking;10;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;imageanalysis_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;imageanalysis_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;imageanalysis_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;java_exception_data;10;obo;;jed_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;java_exception_data_links;10;obo;;java_exception_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;key_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;managed_process_control;10;obo;;mpc_id;heartbeat_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;managed_process_register;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;managed_process_versions;10;obo;;mpv_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;manual_declaration_details;10;obo;;mdd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;manual_declaration_register;10;obo;;mdr_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;manual_declaration_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;manual_declaration_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;manualdeclaration_restreq_tracking;10;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;manualdeclaration_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;manualdeclaration_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;manualdeclaration_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;manually_adjusted_rating_detail_data;10;obo;;mardd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mapdata_section_attributes;10;obo;;mapdatapl_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mapdata_section_markers;10;obo;;mapdatamar_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mapdata_section_polylines;10;obo;;mapdatapl_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_dedupe_pool_obocbo_action_lists;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;mex_dedupe_pool_obocbo_toll_declarations;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;mex_dedupe_pool_rseda_action_lists;10;obo;;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_dedupe_pool_rseda_passages;10;obo;;pool_item_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_event_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;mex_track_obocbo_action_lists;10;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_track_obocbo_toll_declarations;10;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_track_rseda_action_lists;10;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;mex_track_rseda_passages;10;obo;;mex_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;obu_black_list;10;obo;;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;obu_manufacturers;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;obu_register;10;obo;;obu_register_id;last_seen_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;obu_register_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;passage_event_data_signatures;10;obo;;data_signature_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_event_derived_data;10;obo;;pedd_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;passage_event_derived_data_details;10;obo;;pedd_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;passage_event_dsrc_data;10;obo;;pe_dsrc_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_event_gps_data;10;obo;;gps_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_event_image_data;10;obo;;peid_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_event_rse_logic_data;10;obo;;perseld_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_event_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;passage_event_vehicle_data;10;obo;;pe_vehicle_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;passage_events;10;obo;;passage_event_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;pe_datalifecycle_control;10;obo;;pedlc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;pe_datalifecycle_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;pedd_processing_queue;10;obo;;pedd_processing_queue_id;completed_timestamp;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;pedd_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;priority_class;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;process_state;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;processing_queue_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;property_collection_data;10;obo;;property_collection_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;property_collection_links;10;obo;;property_collection_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;property_collections;10;obo;;property_collection_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;publishing_queue_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;rate_component_fee_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;rate_component_fee_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;rate_modification_category;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;rate_modification_reason;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;record_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;road_scheme_source;10;obo;;road_scheme_source_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;road_scheme_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;road_scheme_validity;10;obo;;road_scheme_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
2;public;road_scheme_work_buffer;10;obo;;rswb_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
